"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"2-[3-(sulfooxy)phenyl]acetic acid","5210_neg","2-[3-(sulfooxy)phenyl]acetic acid",0.87,6343.67,NA,"Unknown","null","2-[3-(sulfooxy)phenyl]acetic acid;2-[4-(sulfooxy)phenyl]acetic acid;2-Hydroxyphenylacetic acid sulfate","","HMDB0125163;HMDB0132500;HMDB0240441","NA;NA;NA","131831698;70223057;141909252","NA;NA;NA","null","null",TRUE,TRUE,"Phenylsulfates","Organic sulfuric acids and derivatives","Arylsulfates"
"2-[4-(dimethylamino)phenyl]benzothiazole-6-ol","6992_neg","2-[4-(dimethylamino)phenyl]benzothiazole-6-ol",0.4,54.88,NA,"Unknown","null","2-[4-(Dimethylamino)phenyl]benzothiazole-6-ol","","HMDB0250064","NA","10956585","NA","null","null",TRUE,TRUE,NA,NA,NA
"2-amino-1,3-propanediol","91_pos","2-amino-1,3-propanediol",0.87,640.05,NA,"BETA-ALANINE","null","2-Amino-1,3-propanediol","","HMDB0244971","NA","68294","NA","null","null",TRUE,TRUE,NA,NA,NA
"2-amino-2-thiazoline-4-carboxylic acid","1550_pos","2-amino-2-thiazoline-4-carboxylic acid",0.62,76.41,NA,"Unknown","null","2-Amino-2-thiazoline-4-carboxylic acid","","HMDB0245615","64777","NA","NA","null","null",TRUE,TRUE,NA,NA,NA
"2-amino-3-sulfanylpropanal","279_neg","2-amino-3-sulfanylpropanal",0.6,38.43,NA,"Unknown","null","2-Amino-3-sulfanylpropanal","","HMDB0244781","NA","19900077","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-amino-4,6-dinitrotoluene","3632_pos","2-amino-4,6-dinitrotoluene",0.07,5.41,NA,"Unknown","null","2-Amino-4,6-dinitrotoluene;4-Amino-2,6-dinitrotoluene;2-Amino-5-phosphonopentanoic acid","C16395;C16394;C13734","HMDB0245219;HMDB0246344;HMDB0247376","19452;77424;138644","37182;29574;NA","NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-amino-4-[(2-amino-2-carboxyethyl)disulfanyl]butanoic acid","6509_pos","2-amino-4-[(2-amino-2-carboxyethyl)disulfanyl]butanoic acid",0.42,185.64,NA,"Unknown","null","2-Amino-4-[(2-amino-2-carboxyethyl)disulfanyl]butanoic acid;Djenkolic acid","","HMDB0246700;HMDB0251505","NA;NA","193401;253305","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-amino-5-((1-((carboxymethyl)amino)-3-(methylthio)-1-oxopropan-2-yl)amino)-5-oxopentanoic acid","9427_neg","2-amino-5-((1-((carboxymethyl)amino)-3-(methylthio)-1-oxopropan-2-yl)amino)-5-oxopentanoic acid",0.13,16773.37,NA,"Unknown","null","2-Amino-5-((1-((carboxymethyl)amino)-3-(methylthio)-1-oxopropan-2-yl)amino)-5-oxopentanoic acid;Glycine, L-g-glutamyl-L-cysteinyl-, 3-methyl ester","","HMDB0244993;HMDB0260312","NA;NA","NA;13960592","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-amino-5-[[1-[carboxymethyl(sulfo)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid","12520_neg","2-amino-5-[[1-[carboxymethyl(sulfo)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid",0.51,693.19,NA,"Unknown","null","2-Amino-5-[[1-[carboxymethyl(sulfo)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid","","HMDB0257661","NA","54398503","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-aminobicyclo[3.1.0]hexane-2,6-dicarboxylic acid","3110_pos","2-aminobicyclo[3.1.0]hexane-2,6-dicarboxylic acid",0.87,91.75,NA,"Unknown","null","2-Aminobicyclo[3.1.0]hexane-2,6-dicarboxylic acid","","HMDB0244794","NA","114827","NA","null","null",TRUE,TRUE,NA,NA,NA
"2-aminosulfonyl-benzoic acid methyl ester","4497_pos","2-aminosulfonyl-benzoic acid methyl ester",0.38,28.66,"Benzoic acid esters","no MS2: 2-Aminosulfonyl-benzoic acid methyl ester; LC-ESI-ITFT; MS2; CE","C8H9NO4S",NA,NA,NA,NA,NA,NA,"VSOOBQALJVLTBH-UHFFFAOYSA-N","COC(=O)C1=CC=CC=C1S(N)(=O)=O",TRUE,TRUE,NA,NA,NA
"2-benzyl-4-chlorophenol","4508_neg","2-benzyl-4-chlorophenol",0.02,49.61,NA,"Unknown","null","2-Benzyl-4-chlorophenol","","HMDB0245035","NA","8425","NA","null","null",TRUE,TRUE,NA,NA,NA
"2-chloro-n-[(z)-[3-hydroxy-5-(hydroxymethyl)-2-methylpyridin-4-yl]methylideneamino]benzamide","9335_neg","2-chloro-n-[(z)-[3-hydroxy-5-(hydroxymethyl)-2-methylpyridin-4-yl]methylideneamino]benzamide",0.07,5,NA,"Unknown","null","2-Chloro-N-[(Z)-[3-hydroxy-5-(hydroxymethyl)-2-methylpyridin-4-yl]methylideneamino]benzamide;Sarmazenil","","HMDB0255835;HMDB0257499","NA;NA","3272499;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-chloroaniline","834_neg","2-chloroaniline",0.11,561.87,NA,"Unknown","null","2-Chloroaniline;3-(Chloromethyl)pyridine;3-Chloroaniline;4-Chloroaniline;n-chloroaniline","C14450","HMDB0245064;HMDB0245786;HMDB0245839;HMDB0246391;HMDB0255099","NA;NA;NA;20331;NA","NA;18358;7932;7812;258030","NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-ethyl-2-methyl-n-(6-chloro-4-sulfamoyl-o-tolyl)succinimide","10472_neg","2-ethyl-2-methyl-n-(6-chloro-4-sulfamoyl-o-tolyl)succinimide",0.36,76136.44,NA,"Unknown","null","2-Ethyl-2-methyl-N-(6-chloro-4-sulfamoyl-o-tolyl)succinimide","","HMDB0256147","NA","204937","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-furancarboxaldehyde","126_neg","2-furancarboxaldehyde",0.44,52.78,NA,"Unknown","null","2-Furancarboxaldehyde;2H-Pyran-2-one","C14279","HMDB0032914;HMDB0245765","34768;37965","7362;68154","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"2-furoic acid","396_neg","2-furoic acid",0.93,591.59,NA,"3-Furoic Acid","null","2-Furoic acid;Citraconic anhydride","C01546","HMDB0000617;HMDB0250302","30845;NA","6919;12012","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hepteneoylglycine","2924_neg","2-hepteneoylglycine",0.78,557.81,NA,"Unknown","null","2-Hepteneoylglycine;3-Hepteneoylglycine;4-Hepteneoylglycine;5-Hepteneoylglycine;3h-Adrenaline","","HMDB0094728;HMDB0094729;HMDB0094730;HMDB0094731;HMDB0246263","NA;NA;NA;NA;NA","NA;NA;NA;NA;129636259","NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hexadec-7-enylicosa-8,11-dienedioic acid","19361_neg","2-hexadec-7-enylicosa-8,11-dienedioic acid",0.36,2411829,NA,"Unknown","null","2-Hexadec-7-enylicosa-8,11-dienedioic acid","","HMDB0255383","NA","53801146","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-hexadec-7-enyloctadecanedioic acid","18588_neg","2-hexadec-7-enyloctadecanedioic acid",0.04,1322820,NA,"Unknown","null","2-Hexadec-7-enyloctadecanedioic acid","","HMDB0255384","NA","53868662","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-hydrazinopyridine","395_pos","2-hydrazinopyridine",0.6,345.51,NA,"Unknown","null","2-Hydrazinopyridine;3,4-Diaminopyridine","","HMDB0245139;HMDB0246022","NA;NA","NA;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hydroxy-3-methylpentanoic acid","1009_neg","2-hydroxy-3-methylpentanoic acid",0.93,158.22,NA,"Mevalonolactone","null","2-Hydroxy-3-methylpentanoic acid;5-Hydroxyhexanoic acid;Leucinic acid;Hydroxyisocaproic acid;2-Hydroxycaproic acid;6-Hydroxyhexanoic acid;Threo-3-Hydroxy-2-methylbutyric acid;3-Hydroxyhexanoic acid;1-Methoxy-2-propyl acetate;2-Ethoxyethyl acetate;3-Hydroxybutyl acetate;Diethylene glycol monovinyl ether;methoxypyrimidinyl piperazine;1,4-Dihydroxy-3,3-dimethylbutan-2-one;Solketal","C06103","HMDB0000317;HMDB0000525;HMDB0000665;HMDB0000746;HMDB0001624;HMDB0012843;HMDB0059770;HMDB0061652;HMDB0243916;HMDB0245111;HMDB0245894;HMDB0251247;HMDB0254555;HMDB0257729;HMDB0258367","89228;131434;59783;44510;86542;17869;NA;37049;NA;NA;NA;NA;NA;NA;NA","10796774;170748;92779;83697;99824;14490;642248;11829482;NA;NA;102703;13581;3033863;57248394;NA","NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hydroxy-4-methylthiobutanoate","1581_neg","2-hydroxy-4-methylthiobutanoate",0.58,49.99,NA,"2-hydroxy-4-methylthiobutanoate","null",NA,NA,NA,NA,NA,NA,"null","null",TRUE,FALSE,NA,NA,NA
"2-hydroxy-4-methylthiobutyric acid","1062_neg","2-hydroxy-4-methylthiobutyric acid",0.53,27.95,NA,"Unknown","null","2-Hydroxy-4-methylthiobutyric acid;Dimethylpropiothetin","C04022","HMDB0245145;HMDB0251405","NA;16457","11491941;23736","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hydroxyacetaminophen sulfate","6139_pos","2-hydroxyacetaminophen sulfate",0.93,53.66,NA,"Unknown","null","2-Hydroxyacetaminophen sulfate;HHPAA sulfate","","HMDB0062547;HMDB0240380","82942;NA","NA;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hydroxyadipic acid","2002_neg","2-hydroxyadipic acid",0.87,2108.34,"Hydroxy fatty acids","no MS2: 3-Hydroxy-3-methylglutaric acid; LC-ESI-QTOF; MS2; CE","C6H10O5","2-Hydroxyadipic acid;3-Hydroxyadipic acid;3-Hydroxymethylglutaric acid;Levoglucosan;2-Hydroxy-2-ethylsuccinic acid;1,2,4-Benzotriazin-3-amine 1-oxide;2,5-Anhydro-D-mannose;3-Deoxyglucosone;(2S)-2-[(2S,3S,4R)-3,4-Dihydroxyoxolan-2-yl]-2-hydroxyacetaldehyde;""1,1'-Carbonyldiimidazole"";2-(2-Hydroxy-1-oxopropoxy)propionic acid;Conduritol epoxide;Glycerol pyruvate;1,5,6-Trihydroxyhexane-2,3-dione","C02360;C03761;C02488","HMDB0000321;HMDB0000345;HMDB0000355;HMDB0000640;HMDB0059758;HMDB0243493;HMDB0245490;HMDB0245856;HMDB0246074;HMDB0246922;HMDB0247139;HMDB0247281;HMDB0252845;HMDB0255346","17023;89205;16831;30997;89897;NA;NA;NA;NA;NA;NA;67235;NA;NA","193530;151913;1662;2724705;439736;NA;4243512;15120156;5229255;NA;69241;2859;22168925;18951586","NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","NPOAOTPXWNWTSH-UHFFFAOYSA-N","CC(O)(CC(O)=O)CC(O)=O",TRUE,TRUE,NA,NA,NA
"2-hydroxybutyric acid","276_neg","2-hydroxybutyric acid",0.82,110.27,NA,"3-Hydroxybutyric Acid","null","2-Hydroxybutyric acid;3-Hydroxybutyric acid;(S)-3-Hydroxyisobutyric acid;(R)-3-Hydroxyisobutyric acid;(S)-3-Hydroxybutyric acid;4-Hydroxybutyric acid;alpha-Hydroxyisobutyric acid;(1,2-Dihydroxyethyl)oxirane;Methyl lactate","C05984;C01089;C06001;C03197;C01991","HMDB0000008;HMDB0000011;HMDB0000023;HMDB0000336;HMDB0000442;HMDB0000710;HMDB0000729;HMDB0243558;HMDB0254599","50613;17066;37373;NA;17290;30830;50129;NA;83221","440864;92135;440873;11217234;94318;10413;11671;108199;NA","NA;36784;37034;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hydroxydodecyl methacrylate","7005_neg","2-hydroxydodecyl methacrylate",0.04,179.98,NA,"Unknown","null","2-Hydroxydodecyl methacrylate","","HMDB0245155","NA","114522","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-hydroxyethanesulfonate","783_neg","2-hydroxyethanesulfonate",0.87,5528.36,NA,"2-Hydroxyethanesulfonate","null","2-Hydroxyethanesulfonate;Ethyl hydrogen sulfate","C05123","HMDB0003903;HMDB0031233","1157;NA","7866;6004","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-hydroxyhexadecanoic acid","7124_neg","2-hydroxyhexadecanoic acid",0.84,177.22,"Long-chain fatty acids","no MS2: 16-Hydroxyhexadecanoic acid; LC-ESI-QTOF; MS2; CE","C16H32O3","2-Hydroxyhexadecanoic acid","","HMDB0031057","75977","12575964","NA","UGAGPNKCDRTDHP-UHFFFAOYSA-N","OCCCCCCCCCCCCCCCC(O)=O",TRUE,FALSE,NA,NA,NA
"2-hydroxymyristic acid","5824_neg","2-hydroxymyristic acid",0.51,351,NA,"Unknown","null","2-Hydroxymyristic acid;3-Hydroxytetradecanoic acid","","HMDB0002261;HMDB0061656","59270;37374","1563;5312869","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"2-hydroxymyristoylcarnitine","13088_pos","2-hydroxymyristoylcarnitine",0.29,736256.3,NA,"Unknown","null","2-Hydroxymyristoylcarnitine;3-Hydroxytetradecanoyl carnitine;Deoxyspergualin;Tresperimus","","HMDB0013166;HMDB0061640;HMDB0243514;HMDB0259122","NA;73063;NA;NA","53481642;71464541;55362;NA","NA;NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"2-indolecarboxylic acid","2141_pos","2-indolecarboxylic acid",0.44,63.43,"Indolecarboxylic acids and derivatives","no MS2: 1H-indole-3-carboxylic acid; LC-ESI-QTOF; MS2; CE","C9H7NO2","2-Indolecarboxylic acid;Indole-3-carboxylic acid;4,6-Dihydroxyquinoline;Quinoline-4,8-diol;2,8-Quinolinediol;1,5-Isoquinolinediol;2,4-Quinolinediol;3-Hydroxyquinolin-2(1h)-One;Indole-5-carboxylic acid","C19837;C05639;C05637;C06342;C16716","HMDB0002285;HMDB0003320;HMDB0004077;HMDB0060289;HMDB0240311;HMDB0244237;HMDB0245468;HMDB0245908;HMDB0253469","130363;24809;28799;28883;17715;64044;75926;NA;131778","72899;69867;440738;440737;NA;1340;6864;818159;74280","NA;NA;46176;NA;NA;NA;NA;NA;NA","KMAKOBLIOCQGJP-UHFFFAOYSA-N","OC(=O)C1=CNC2=CC=CC=C12",TRUE,TRUE,NA,NA,NA
"2-ketobutyric acid","234_neg","2-ketobutyric acid",0.87,200.55,NA,"2-Ketobutyric Acid","null","2-Ketobutyric acid;Acetoacetic acid;Succinic acid semialdehyde;Acetic anhydride;2-Oxoethyl acetate;Methyl pyruvate;Propylene carbonate","C00109;C00164;C00232","HMDB0000005;HMDB0000060;HMDB0001259;HMDB0031646;HMDB0245285;HMDB0254610;HMDB0256840","30831;15344;16265;36610;NA;51850;NA","58;96;1112;7918;11115995;11748;NA","33889;NA;34331;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-methoxyacetaminophen sulfate","6578_neg","2-methoxyacetaminophen sulfate",0.87,67762.04,NA,"Unknown","null","2-Methoxyacetaminophen sulfate;O-Sulfotyrosine","","HMDB0062550;HMDB0155722","82944;46215","NA;514186","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-methyl-3-hydroxybutyric acid","585_neg","2-methyl-3-hydroxybutyric acid",0.91,2054.59,NA,"3-Hydroxyisovaleric Acid","null","2-Methyl-3-hydroxybutyric acid;2-Ethylhydracrylic acid;2-Hydroxy-3-methylbutyric acid;3-Hydroxyvaleric acid;3-Hydroxyisovaleric acid;2-Hydroxyvaleric acid;2-Hydroxy-2-methylbutyric acid;4-Hydroxyisovaleric acid;5-Hydroxypentanoic acid;2-Methoxyethyl acetate;Ethyl 3-hydroxypropanoate","C02804","HMDB0000354;HMDB0000396;HMDB0000407;HMDB0000531;HMDB0000754;HMDB0001863;HMDB0001987;HMDB0002011;HMDB0061927;HMDB0245204;HMDB0252030","37051;82956;60645;139272;37084;60647;68454;384411;45564;NA;NA","160471;188979;99823;107802;69362;98009;95433;131760;25945;8054;12870589","NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-methyl-3-ketovaleric acid","951_neg","2-methyl-3-ketovaleric acid",0.87,1498.4,NA,"Unknown","null","2-Methyl-3-ketovaleric acid;3-Methyl-2-oxovaleric acid;Ketoleucine;2-Ketohexanoic acid;Mevalonolactone;4-Acetylbutyrate;2H-Pyran-2-one, tetrahydro-4-hydroxy-4-methyl-, (R)-;2-Hydroxyethyl methacrylate;2-Methyl-2-hydroxypentane-1,5-dial;Diglycidyl ether;hydroxyethyl methacrylic acid;ketomethylvalerate;ketomethylvaleric acid;2-(Hydroxymethyl)pentanedial;Propionic anhydride;4-Methoxy-2-methylidenebutanoic acid;3-Hydroxy-3-methylpentanedial","C00671;C00233;C00902;C02129;C14530","HMDB0000408;HMDB0000491;HMDB0000695;HMDB0001864;HMDB0006024;HMDB0061881;HMDB0244840;HMDB0245159;HMDB0245213;HMDB0251282;HMDB0253265;HMDB0253790;HMDB0253791;HMDB0255360;HMDB0256826;HMDB0257691;HMDB0257911","86365;15614;48430;17308;NA;15888;NA;34288;NA;NA;NA;NA;NA;NA;NA;NA;NA","189028;439286;70;159664;5325923;18407;10428;NA;54303135;NA;53782531;17998011;19743428;21914504;NA;10441724;15575779","NA;NA;34334;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-methylbutyroylcarnitine","6067_pos","2-methylbutyroylcarnitine",0.76,128.95,NA,"Valerylcarnitine","null","2-Methylbutyroylcarnitine;Isovalerylcarnitine;Pinacidil","","HMDB0000378;HMDB0000688;HMDB0256556","73026;73025;NA","6426901;NA;NA","NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-methylbutyrylglycine","1889_neg","2-methylbutyrylglycine",0.89,1513.03,NA,"Unknown","null","2-Methylbutyrylglycine;Isovalerylglycine;Valerylglycine;N-Acetylvaline;3-Dehydrocarnitine;Betonicine;2-Pivalamidoacetic acid","C02636;C08269","HMDB0000339;HMDB0000678;HMDB0000927;HMDB0011757;HMDB0012154;HMDB0029412;HMDB0245297","86366;70984;NA;21565;57885;85533;NA","193872;546304;4737557;66789;6991982;164642;NA","NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-methylcitric acid","3902_neg","2-methylcitric acid",0.87,284.01,NA,"Lipoic Acid","null","2-Methylcitric acid;(R)-Lipoic acid;Homocitric acid;2-Methoxypropane-1,2,3-tricarboxylic acid;Thioctic acid;Glucose ketone","C16241;C01251;C00725","HMDB0000379;HMDB0001451;HMDB0003518;HMDB0245209;HMDB0251530;HMDB0252777","30835;30314;52222;NA;16494;NA","515;6112;439459;15788107;864;141057530","39369;35801;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-methylthiazolidine-4-carboxylic acid","1599_pos","2-methylthiazolidine-4-carboxylic acid",0.73,48.69,NA,"Unknown","null","2-Methylthiazolidine-4-carboxylic acid","","HMDB0246657","NA","160736","NA","null","null",TRUE,TRUE,NA,NA,NA
"2-octenoylcarnitine","8108_pos","2-octenoylcarnitine",0.53,20.87,NA,"Unknown","null","2-Octenoylcarnitine;Octenoyl-L-carnitine;5-(4-Methylphenyl)-7-tert-butyl-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-d]pyrimidine-4-amine","","HMDB0013324;HMDB0240723;HMDB0257964","71012;NA;NA","70679121;129692230;57157766","NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"2-oxazolidinone, 3-[[(5-nitro-2-furanyl)methylene]amino]-","5006_pos","2-oxazolidinone, 3-[[(5-nitro-2-furanyl)methylene]amino]-",0.42,109.86,NA,"Unknown","null","2-Oxazolidinone, 3-[[(5-nitro-2-furanyl)methylene]amino]-","","HMDB0247183","5195","3435","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-oxido-1,2,5-oxadiazol-2-ium","1_neg","2-oxido-1,2,5-oxadiazol-2-ium",0.44,98.43,NA,"Unknown","null","2-Oxido-1,2,5-oxadiazol-2-ium;Diazoacetic acid","","HMDB0246696;HMDB0251151","NA;NA","5325374;53438496","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"2-oxoarginine","2618_pos","2-oxoarginine",0.87,1942.84,NA,"Unknown","null","2-Oxoarginine","C03771","HMDB0004225","28116","558","42500","null","null",TRUE,TRUE,NA,NA,NA
"2-phosphoglyceric acid","3137_pos","2-phosphoglyceric acid",0.76,15.4,"Sugar acids and derivatives","no MS2: 3-Phospho-D-glycerate; LC-ESI-ITFT; MS2; m/z","C3H7O7P","2-Phosphoglyceric acid;3-Phosphoglyceric acid;2-Phospho-D-glyceric acid;D-Glycerate 3-phosphate;Diethyldithiophosphate","C00597;C00631;C00197","HMDB0000362;HMDB0000807;HMDB0003391;HMDB0060180;HMDB0061736","24344;17050;17835;17794;NA","59;724;439278;439183;9274","NA;34230;35542;NA;NA","OSJPPGNTCRNQQC-UWTATZPHSA-N","O[C@H](COP(O)(O)=O)C(O)=O",TRUE,TRUE,NA,NA,NA
"2-phosphonopropionic acid","1711_neg","2-phosphonopropionic acid",0.87,472.97,NA,"Unknown","null","2-Phosphonopropionic acid","","HMDB0245296","NA","73187","NA","null","null",TRUE,TRUE,NA,NA,NA
"2-pyrrolidinone","20_pos","2-pyrrolidinone",0.84,24.14,NA,"Unknown","null","2-Pyrrolidinone;2-Methyl-2-oxazoline;METHACRYLAMIDE;N-Vinylacetamide","C11118","HMDB0002039;HMDB0245215;HMDB0254513;HMDB0255246","36592;53614;51759;NA","12025;70713;6595;NA","NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"2-thenoyltrifluoroacetone","4682_neg","2-thenoyltrifluoroacetone",0.71,65.1,NA,"Unknown","null","2-Thenoyltrifluoroacetone","","HMDB0245319","NA","5601","NA","null","null",TRUE,FALSE,NA,NA,NA
"2-thiouracil","860_neg","2-thiouracil",0.09,23.24,NA,"Unknown","null","2-Thiouracil;Thiazole-4-carboxamide","C19304","HMDB0245323;HMDB0258976","348530;NA","1586;NA","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"2-thiouric acid","2870_neg","2-thiouric acid",0.44,122.87,NA,"Unknown","null","2-Thiouric acid","","HMDB0245324","NA","NA","NA","null","null",TRUE,TRUE,NA,NA,NA
"20-epi-eldecalcitol","16368_neg","20-epi-eldecalcitol",0.33,138283.3,NA,"Unknown","null","20-Epi-Eldecalcitol","","HMDB0245562","NA","73113358","NA","null","null",TRUE,FALSE,NA,NA,NA
"2h-benzo[f]isoindole-1-carbonitrile","3258_neg","2h-benzo[f]isoindole-1-carbonitrile",0.02,6.36,NA,"Unknown","null","2H-Benzo[F]isoindole-1-carbonitrile","","HMDB0245761","NA","14275443","NA","null","null",TRUE,FALSE,NA,NA,NA
"3',5'-cyclic amp","9779_neg","3',5'-cyclic amp",0.22,7.2,NA,"3',5'-CYCLIC AMP","null",NA,NA,NA,NA,NA,NA,"null","null",TRUE,FALSE,NA,NA,NA
"3',5'-dideoxythymidine","4156_pos","3',5'-dideoxythymidine",0.44,26.03,NA,"Kynurenine","null","""3',5'-Dideoxythymidine""","","HMDB0246113","NA","168859","NA","null","null",TRUE,FALSE,NA,NA,NA
"3',6'-dihydroxy-6-isothiocyanatospiro[isobenzofuran-1(3h),9'-[9h]xanthen]-3-one","12618_neg","3',6'-dihydroxy-6-isothiocyanatospiro[isobenzofuran-1(3h),9'-[9h]xanthen]-3-one",0.4,84.69,NA,"Unknown","null","""3',6'-Dihydroxy-6-isothiocyanatospiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one"";Fluorescein-5-isothiocyanate;Fluoresceine isothiocyanate","","HMDB0246164;HMDB0246165;HMDB0252364","NA;37918;NA","15764346;18730;129651159","NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"3'-(1-butylphosphoryl)adenosine","13268_neg","3'-(1-butylphosphoryl)adenosine",0.02,4.94,NA,"Unknown","null","""3'-(1-Butylphosphoryl)adenosine""","","HMDB0246085","NA","13672004","NA","null","null",TRUE,TRUE,NA,NA,NA
"3'-hydroxyamobarbital","5903_pos","3'-hydroxyamobarbital",0.18,23.21,NA,"Unknown","null","""3'-Hydroxyamobarbital"";2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-ethyl-5-(3-hydroxy-1-methylbutyl)-","","HMDB0246097;HMDB0246099","NA;NA","121454;94288","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"3'-o-methyl-(-)-epicatechin-5-o-sulphate","10844_neg","3'-o-methyl-(-)-epicatechin-5-o-sulphate",0.87,3272.41,NA,"Unknown","null","""3'-O-Methyl-(-)-epicatechin-5-O-sulphate"";""4'-O-Methyl-(-)-epicatechin-5-O-sulphate"";""4'-O-Methyl-(-)-epicatechin-7-O-sulphate"";2-(5-Chloro-2-fluorophenyl)-N-(pyridin-4-yl)pteridin-4-amine","","HMDB0029176;HMDB0029182;HMDB0029184;HMDB0258189","145963;175492;175493;NA","131834117;131834220;131834262;NA","NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"3'-thiacytidine","5843_neg","3'-thiacytidine",0.04,16.6,NA,"Unknown","null","""3'-thiacytidine""","","HMDB0246108","NA","NA","NA","null","null",TRUE,FALSE,NA,NA,NA
"3,3'-dichlorobenzidine","6131_neg","3,3'-dichlorobenzidine",0.51,120.96,NA,"Unknown","null","""3,3'-Dichlorobenzidine"";Thiacloprid","C19225","HMDB0245999;HMDB0258967","NA;39175","NA;115224","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"3,4,5,4'-tetramethoxystilbene","8857_pos","3,4,5,4'-tetramethoxystilbene",0.29,10.31,NA,"Unknown","null","""3,4,5,4'-Tetramethoxystilbene"";""2,3',4,5'-Tetramethoxystilbene"";3-(4-Carboxybenzylidene)-6-hydroxycamphor","","HMDB0244555;HMDB0245669;HMDB0245779","NA;92804;NA","125922;5491;91106693","NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"3,4-dephostatin, ethyl-","2808_neg","3,4-dephostatin, ethyl-",0.44,75.92,NA,"Nicotinuric Acid","null","3,4-Dephostatin, Ethyl-","","HMDB0246019","NA","NA","NA","null","null",TRUE,TRUE,NA,NA,NA
"3,4-didehydroretinol acetate","10187_pos","3,4-didehydroretinol acetate",0.44,335767.7,NA,"Unknown","null","3,4-Didehydroretinol Acetate;6-Methylene-4-pregnene-3,20-dione;Anordiol;Promegestone","","HMDB0245853;HMDB0247087;HMDB0248450;HMDB0256802","NA;NA;NA;NA","167863;12951776;21953304;23276343","NA;NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"3,4-dihydro-9-hydroxy-[1]benzothieno[2,3-f]-1,4-thiazepin-5(2h)-one","6340_pos","3,4-dihydro-9-hydroxy-[1]benzothieno[2,3-f]-1,4-thiazepin-5(2h)-one",0.38,143.12,NA,"Unknown","null","3,4-Dihydro-9-hydroxy-[1]benzothieno[2,3-f]-1,4-thiazepin-5(2H)-one","","HMDB0253770","NA","NA","NA","null","null",TRUE,FALSE,NA,NA,NA
