Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_se_1,Blank_se_2,Blank_se_3,Blank_ur_1,Blank_ur_2,MSMS_pos_se_ur,QC_se_1,QC_se_2,QC_se_3,QC_se_ur_1,QC_se_ur_2,QC_se_ur_3,QC_ur_1,QC_ur_2,se_1,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,ur_1,ur_10,ur_11,ur_12,ur_14,ur_2,ur_3,ur_4,ur_5,ur_6,ur_7,ur_8,ur_9
23,6.189,86.05988,Unknown,[M+H]+,null,0.4,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,23,0,0,null,null,null,null,null,null,null,16.5,ur_12,86.05988:8876561 87.06455:0 88.06922:0,null,41588,22810,20248,26470,94718,1022666,173798,153664,169667,1904931,3335852,4911804,2480594,5372244,77764,146250,83581,79196,95082,119855,46579,90033,90963,70616,36131,46915,47524,75672,103392,88968,239957,6101292,3021664,5060757,7542625,1752583,6380629,5919579,5066521,4937515,2001937,6035244,4546672,3771521
24,9.218,86.05989,Unknown,[M+H]+,null,0.47,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,24,0,0,null,null,null,null,null,null,null,68.67,ur_3,86.05989:39784511 87.06456:1893205 88.06923:0,null,125712,39390,33054,33943,37232,5700964,493402,491940,434550,11880761,8865168,8024115,14898913,15012230,207006,68162,108763,66383,46957,72068,65705,94720,89213,165068,151778,71651,95150,1086255,480539,107125,1622241,11089496,8827198,12527467,11088143,9810188,9926670,37714232,12725515,14380098,8341660,10397748,16155695,11027687
25,22.269,86.05991,Unknown,[M+H]+,null,0.4,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,25,0,0,null,null,null,null,null,null,null,27.58,ur_2,86.05991:7379225 87.06458:407339 88.06925:467780,null,45634,49858,57337,33918,107439,1681434,33068,43872,51047,4744461,3520383,3067398,4041635,4091940,83318,61735,55167,57077,52655,52650,62217,63648,57017,85077,55836,66001,38944,54517,42871,40284,51578,5761256,6239579,2152365,5401671,4069794,7107962,1702036,6014509,3454548,6030695,4870487,2670941,6129752
26,16.573,86.07103,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,26,0,0,null,null,null,null,null,null,null,4.7,ur_6,86.07103:1340793 87.07570:0 88.08037:399128,null,0,17652,19434,0,0,33330,18192,0,26540,792440,575216,461386,790183,635072,0,18667,20359,21239,18869,23377,21585,0,23522,20052,28964,21695,22784,28583,17311,21613,0,339264,881851,755511,198154,216701,863412,449323,533089,999959,960052,278168,611059,396340
27,9.58,86.0713,Unknown,[M+H]+,null,0.24,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,27,0,0,null,null,null,null,null,null,null,33.63,QC_ur_2,86.07130:9977934 87.07596:0 88.08063:0,null,40754,0,29816,0,35140,477464,314649,298089,298161,6135205,5295366,5536627,7694017,7507998,83149,90153,105571,120397,71538,126134,70691,202682,90501,154239,197482,66908,198360,118299,167188,124525,233573,6480680,7208000,6755847,6232891,5832632,6896582,6278823,6388525,5807822,6755833,6395936,6145833,7011666
28,7.356,86.09428,Unknown,[M+H]+,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,28,0,0,null,null,null,null,null,null,null,7.22,QC_se_3,86.09428:717441 87.09894:0 88.10361:0,null,18448,77736,33686,28494,25392,19386,229532,155173,402773,336740,96870,418615,1474862,121717,133738,47582,285711,53664,346944,272033,301538,260621,125408,376440,183160,109692,302538,248170,143514,238647,187077,635416,717872,205120,536899,1733221,544848,495007,1260285,190328,196524,285364,737931,505356
29,4.219,86.0943,Unknown,[M+H]+,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,29,0,0,null,null,null,null,null,null,null,12.53,se_10,86.09430:1471729 87.09897:0 88.10363:0,null,24721,53112,0,40610,43271,9356,269674,370984,606921,172115,174148,154864,135420,190238,778498,918205,1189141,401138,981877,1307134,579538,819535,1357215,720250,749878,652043,855704,825030,1034855,678902,665376,110381,0,196747,115633,104456,188332,124422,123062,187698,0,117769,127897,0
30,19.913,86.09628,no MS2: Piperidine; LC-ESI-QTOF; MS2; CE,[M+H]+,null,0.33,FALSE,-1,86.09643,C5H11N,Piperidines,NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: MSMS-Pos-MassBank_1,FALSE,FALSE,30,0,0,1,-1,-1,-1,-1,-1,1,24.87,QC_se_ur_3,86.09643:3581725 87.10110:0 88.10576:728421,null,92049,175584,40901,62274,156125,3888704,53760,85659,26334,5468533,3529851,3282090,6755090,4709242,85243,99903,39457,35860,67941,87166,68053,87579,84664,89068,53265,89832,105560,238030,202962,165840,111938,3977303,3492916,13121226,3342954,2050343,6121493,1424841,5863132,25131240,2722656,4610321,14240920,7844122
31,10.555,86.09633,no MS2: Piperidine; LC-ESI-QTOF; MS2; CE,[M+H]+,null,0.78,FALSE,-1,86.09643,C5H11N,Piperidines,NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: MSMS-Pos-MassBank_1,FALSE,FALSE,31,0,0,1,-1,-1,-1,-1,-1,1,127.32,QC_ur_2,86.09639:8074127 87.10106:0 88.10573:0,null,27613,30077,39011,31212,108796,1754563,21818584,21418784,20709248,3645406,3264401,2117553,6596997,6848299,7208025,9357308,7967915,5934120,6553879,7253443,7816059,8681419,5798227,4709496,6198552,10074240,6764407,9941679,4095625,9200149,5501090,3189665,4151457,8439463,3075460,4357453,2196157,7711752,3621574,6223442,3593546,3600706,6220706,3430933
32,17.863,86.09644,no MS2: Piperidine; LC-ESI-QTOF; MS2; CE,[M+H]+,null,0.04,FALSE,-1,86.09643,C5H11N,Piperidines,NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: MSMS-Pos-MassBank_1,FALSE,FALSE,32,0,0,1,-1,-1,-1,-1,-1,1,5.35,QC_ur_2,86.09644:2007783 87.10111:0 88.10578:0,null,71609,225553,58320,98098,150064,62267,77942,100778,70554,73052,53105,101935,104842,2008709,65396,96675,27702,91979,78242,34221,73309,90526,58481,89688,68672,86523,102149,161210,185958,114303,47270,1232304,179128,4042872,122741,797482,27783,346581,33000,159742,105004,302415,4865004,27918
33,7.313,86.09646,no MS2: Piperidine; LC-ESI-QTOF; MS2; CE,[M+H]+,null,0.02,FALSE,-1,86.09643,C5H11N,Piperidines,NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: MSMS-Pos-MassBank_1,FALSE,FALSE,33,0,0,1,-1,-1,-1,-1,-1,1,7.44,se_13,86.09646:458814 87.10113:0 88.10579:0,null,18448,77736,33686,28494,25392,19386,229532,155173,402773,336740,96870,418615,157359,121717,133738,47582,285711,53664,346944,125351,301538,78224,125408,81673,183160,36997,302538,60448,143514,238647,187077,635416,717872,205120,536899,1733221,544848,495007,1260285,129644,196524,285364,737931,115374
34,14.184,86.09659,no MS2: Piperidine; LC-ESI-QTOF; MS2; CE,[M+H]+,null,0.31,FALSE,-1,86.09643,C5H11N,Piperidines,NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: MSMS-Pos-MassBank_1,FALSE,FALSE,34,0,0,1,-1,-1,-1,-1,-1,1,18.05,se_13,86.09644:1506894 87.10111:0 88.10578:0,null,31185,129214,27565,35605,63293,42436,813944,1094910,1057703,2766932,1672326,1726793,3223609,3047276,122527,175004,1122611,735446,1002877,642108,837041,395832,967765,609364,1055704,782972,1162156,704462,357430,1005839,613629,2327930,2673322,3317584,2249729,2544699,2141365,1167247,2431923,2651161,2954391,2349442,3108987,2915082
35,16.142,86.98983,Unknown,[M+H]+,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,35,0,0,null,null,null,null,null,null,null,7.31,ur_13,86.98983:444309 87.99450:0 88.99917:0,null,0,0,0,17259,21849,0,0,0,0,156712,37122,43279,0,0,0,0,0,0,0,0,0,0,21788,0,0,0,0,0,0,26365,0,0,0,0,0,70876,57879,0,0,0,193993,0,0,0
36,19.41,86.99,Unknown,[M+H]+,null,0.11,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,36,0,0,null,null,null,null,null,null,null,10.71,ur_6,86.99000:3057554 87.99467:0 88.99933:0,null,0,18498,0,0,0,0,0,0,0,595641,487795,273404,725565,916772,0,0,0,0,18362,0,0,0,0,0,21920,0,0,0,0,0,0,273045,488405,188983,197086,1122229,32846,1075182,50170,183093,2721502,66234,158400,62049
37,19.746,86.99003,Unknown,[M+H]+,null,0.11,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,37,0,0,null,null,null,null,null,null,null,12.45,ur_13,86.99003:2801589 87.99470:0 88.99936:0,null,0,0,0,0,0,0,0,0,0,1047250,694318,264461,980721,916772,0,0,0,0,18362,0,0,0,0,0,30861,0,0,0,0,0,0,273045,998912,344596,162528,793170,74946,851534,167399,530159,2456874,229900,304006,141507
38,7.722,87.02621,Unknown,[M+H]+,null,0.11,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,38,0,0,null,null,null,null,null,null,null,18.24,QC_ur_1,87.02621:4697599 88.03087:0 89.03554:0,null,35132,0,0,0,0,78666,0,0,0,2001605,1983029,1888608,3813129,3378543,0,0,0,27136,88985,0,0,0,0,0,0,30615,0,0,0,0,0,0,2513980,186264,0,3552073,0,0,194138,181478,2939712,0,237889,0
39,4.259,87.02634,Unknown,[M+H]+,null,0.16,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,39,0,0,null,null,null,null,null,null,null,35.95,ur_6,87.02634:7211548 88.03100:0 89.03567:0,null,24999,20219,0,44135,0,6800,0,203187,0,3329354,2382571,1662345,3792732,4361088,0,0,0,0,161152,65716,0,0,73317,0,0,0,136958,0,0,0,0,129223,5281878,89372,0,5149260,0,90308,138519,312654,6382545,0,139958,148500
40,12.003,87.02638,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,40,0,0,null,null,null,null,null,null,null,14.22,ur_6,87.02638:1539278 88.03105:530185 89.03572:0,null,0,0,0,28269,25271,0,226641,138651,215941,0,0,93598,190690,0,0,43999,27968,0,47078,71328,0,31425,36457,45899,34004,25240,29706,87915,0,20867,30344,0,180821,142238,134548,200944,0,189204,144784,225468,1378770,164663,0,210006
41,15.029,87.04372,Diacetyl,[M-H2O-H]-,null,0.4,FALSE,-1,87.0441,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,41,0,0,1,null,null,null,null,null,1,49.32,ur_14,87.04410:3592928 88.04877:0 89.05343:0,null,25158,20348,18592,26904,0,593861,39602,55866,246680,4542000,3660827,2570017,5315923,5133230,27783,399181,139640,119052,68498,62234,107123,60496,86775,168346,106398,29473,109215,625188,95655,140981,250369,3828709,3315518,3333082,4437163,3868431,5793803,39479856,5831009,5489000,3644574,4548539,4793572,5607651
42,15.422,87.04389,Diacetyl,[M-H2O-H]-,null,0.62,FALSE,-1,87.0441,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,42,0,0,1,null,null,null,null,null,1,87.92,QC_ur_2,87.04409:19647788 88.04876:978820 89.05343:0,null,25158,24062,55893,25410,35633,5385781,236585,268105,246680,18805722,15298202,8435598,19912967,18785627,27783,399181,139640,119052,217064,170474,162740,105306,145323,168346,128039,29473,109215,625188,128556,123180,250369,16097223,9130784,10559478,32212439,8445934,22877898,39479856,16215213,15068687,5991959,16874179,9222597,17744325
43,11.056,87.04395,Diacetyl,[M-H2O-H]-,null,0.09,FALSE,-1,87.0441,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,43,0,0,1,null,null,null,null,null,1,21.08,ur_7,87.04395:4140977 88.04862:0 89.05329:0,null,0,0,17405,25029,0,33918,44178,0,45990,775345,625897,276222,714637,969983,28256,28132,35444,0,0,64598,47272,37500,0,0,0,45036,0,32634,0,20996,0,1209935,1323956,755495,143193,137916,1617842,144426,1876716,995233,244321,2031652,1108398,1968933
