Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_se_1,Blank_se_2,Blank_se_3,Blank_ur_1,Blank_ur_2,MSMS_neg_se_ur,QC_se_1,QC_se_2,QC_se_3,QC_se_ur_1,QC_se_ur_2,QC_se_ur_3,QC_ur_1,QC_ur_2,se_1,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,ur_1,ur_10,ur_11,ur_12,ur_14,ur_2,ur_3,ur_4,ur_5,ur_6,ur_7,ur_8,ur_9
10,8.635,85.06548,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,10,0,0,null,null,null,null,null,null,null,63.95,ur_14,85.06548:1516840 86.07015:0 87.07482:0,null,0,0,0,0,0,25855,0,0,0,92438,183135,74228,232662,231216,0,0,0,0,0,24982,0,24142,0,0,0,0,0,0,28579,0,26629,85069,915326,88143,86312,1031684,0,0,0,165715,931314,91484,101648,104673
11,19.13,86.00051,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,11,0,0,null,null,null,null,null,null,null,21.26,ur_5,86.00051:1430094 87.00518:2103750 88.00985:0,null,0,0,2330,0,5569,23349,3131,0,0,338853,150271,160711,503422,475098,0,0,0,0,0,0,0,0,2997,0,0,0,0,0,0,2968,0,557210,466249,572565,320688,305619,376165,268651,371086,839312,444381,346633,643070,387211
12,11.466,86.00056,Unknown,[M-H]-,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,12,0,0,null,null,null,null,null,null,null,12.66,ur_10,86.00056:444410 87.00522:781862 88.00989:0,null,12493,0,6543,5478,0,0,0,6565,5766,84219,54524,66268,101691,138086,0,0,20301,0,17987,21480,20776,0,0,0,0,0,0,0,0,0,5872,265141,348449,218808,112321,109894,179781,119926,66084,182447,140189,95379,225032,277286
13,15.301,86.00062,Unknown,[M-H]-,null,0.09,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,13,0,0,null,null,null,null,null,null,null,17.23,ur_14,86.00062:1075386 87.00529:4011541 88.00995:0,null,0,2672,4524,4244,0,0,61034,52244,11626,101184,132454,28144,73521,74662,0,8162,15390,28504,8641,47385,0,17918,27308,24629,0,45673,49937,84529,0,9125,0,303565,61776,62024,0,933265,92493,0,0,67525,133966,0,74826,302708
14,15.921,86.02438,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,14,0,0,null,null,null,null,null,null,null,4.44,ur_5,86.02438:189228 87.02905:0 88.03372:1183000,null,4656,2941,3098,4061,7370,87316,6226,13696,6320,223408,123540,55670,249068,203554,7408,4728,6847,4464,15399,6505,8719,9693,5043,6015,8718,9564,11346,6905,7619,8616,4196,318217,127467,319643,101001,284542,215507,185485,242519,190803,96298,389079,307170,342052
15,9.94,86.02444,Unknown,[M-H]-,null,0.42,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,15,0,0,null,null,null,null,null,null,null,72.42,ur_6,86.02444:2749543 87.02910:0 88.03377:373536,null,20880,0,0,0,21419,1130803,7692,9167,14398,1410614,902072,764265,2331437,2375713,21948,29657,0,44032,0,0,0,26336,0,0,0,23907,22006,32192,34511,0,0,1726142,2479459,1941517,2495242,1129373,1535042,1585185,2089649,2355545,2803038,2523974,2098713,2717931
16,8.482,86.06054,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,16,0,0,null,null,null,null,null,null,null,31.02,ur_4,86.06054:1125800 87.06521:0 88.06987:0,null,0,17501,0,21197,0,30431,4445,0,0,170462,124862,111620,370143,115222,0,23150,0,0,24947,0,25288,0,0,0,0,20375,0,0,0,0,0,267503,141384,177433,158892,264628,349021,92075,523255,443336,0,373317,321245,253514
17,15.188,86.51645,Unknown,[M-H]-,null,0.24,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,17,0,0,null,null,null,null,null,null,null,50.98,ur_10,86.51645:2885280 87.52112:0 88.52578:0,null,18625,0,3014,9708,14163,748613,0,0,0,709448,473551,281461,592474,297120,0,0,0,0,0,0,0,0,0,4740,0,0,0,0,0,0,0,391527,2383135,966315,268500,51159,735934,387121,586664,1185383,1740467,475604,910336,1002451
18,8.044,86.99042,Unknown,[M-H]-,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,18,0,0,null,null,null,null,null,null,null,28.68,ur_2,86.99042:559651 87.99509:0 88.99975:0,null,0,19002,21392,0,0,30821,0,0,9112,406172,182970,155103,197822,129107,0,0,0,0,0,18244,0,0,0,18793,0,0,0,0,0,0,0,185887,356297,385238,150457,2207358,414314,374630,279458,211364,361675,235716,440569,153190
19,18.537,87.00805,Pyruvic Acid,[M-H]-,null,0.87,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,19,0,0,0.99,null,null,null,null,null,0.99,88.97,ur_10,87.00850:2878662 88.01317:0 89.01783:3448598,null,134063,73366,122127,143495,152916,2350770,1669902,1563377,1462051,10670761,8825825,5767053,13430336,11960341,1392781,1313510,1239148,1117562,1639952,1877701,1344872,1485802,1588207,1716835,1655120,1453283,1631749,2102114,1682955,1510444,1692974,7020378,3204133,26522962,22011872,5410242,1380521,43225865,2275812,25381099,14633850,9022856,11698880,3126357
20,15.218,87.00826,Pyruvic Acid,[M-H]-,null,0.87,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,20,0,0,1,null,null,null,null,null,1,43.28,se_1,87.00862:1286260 88.01329:0 89.01796:23780166,null,21488,58142,70555,24323,109648,848998,1764889,1688200,1630116,3755239,3123343,1854084,4297018,4382178,1138769,1304329,1640211,1225348,1519214,1801780,1630412,1162225,1592747,1376285,1361053,1628847,1508552,1674336,1708027,1488281,1718424,3897540,3615744,3958411,3942920,5181168,3066968,4739772,2782902,3596641,3678456,3743937,3878938,4110422
21,4.695,87.00839,Pyruvic Acid,[M-H]-,null,0.02,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,21,0,0,0.98,null,null,null,null,null,0.98,10.26,ur_6,87.00839:1742047 88.01306:0 89.01773:1407356,null,29401,24116,57565,56527,221218,102363,41439,27611,25697,609922,229872,469988,280641,738656,38510,57075,34744,43442,31634,26139,72877,35329,37492,30534,38992,0,37402,40435,39846,38057,55324,270084,759644,238257,2160058,934902,535015,669421,641370,480973,1138590,737556,561337,820800
22,7.669,87.00839,Pyruvic Acid,[M-H]-,null,0.82,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,22,0,0,1,null,null,null,null,null,1,132.58,se_1,87.00868:10548924 88.01335:437907 89.01802:218763,null,33011,43761,40308,50933,168627,1569707,5948133,5883149,2644656,5948222,5650065,5910385,6389192,7491107,5785329,3404560,3994899,4886194,4216237,5308633,5112980,7029028,5175473,3651894,1827659,5484142,5201395,8135386,4812360,6073489,5698333,7642062,4615838,10225203,9232871,3967389,6466798,9898327,6835512,8649854,3146015,7503830,8938195,6597764
23,10.261,87.00843,Pyruvic Acid,[M-H]-,null,0.49,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,23,0,0,1,null,null,null,null,null,1,51.06,QC_se_1,87.00866:1787302 88.01333:0 89.01799:878536192,null,24503,25986,30914,43878,83898,381545,1736304,1714294,1776452,1279605,1378563,1867256,2175634,1260246,1871456,2320442,1889775,2178361,2066964,1768580,1956420,2119290,1812967,1657711,2093552,1733477,2106428,2281167,1661006,2085687,1931319,572281,611286,819834,1016221,732817,531534,1100287,658070,1225002,890056,612715,595065,481072
24,19.957,87.00848,Pyruvic Acid,[M-H]-,null,0.11,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,24,0,0,0.99,null,null,null,null,null,0.99,7.27,ur_3,87.00848:4767142 88.01314:137989 89.01781:3925159,null,45562,56051,89465,72581,133000,261886,167463,171325,183575,1424092,886372,410533,1650483,978997,163215,225527,161523,180759,187412,182229,185912,193765,186925,150894,147764,169029,167160,479572,156870,184452,189006,722303,424493,1573202,1724664,623670,1534285,5049030,481211,1547915,1177154,748558,660194,449454
25,8.861,87.00857,Pyruvic Acid,[M-H]-,null,0.84,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,25,0,0,1,null,null,null,null,null,1,508.58,se_1,87.00867:25775174 88.01333:1083376 89.01800:705604,null,23917,23345,26764,39684,167305,9778940,21993442,22540813,22124341,11854586,15681590,17855271,9164390,9756142,23896738,34336874,16955843,22316464,21313248,20914399,24165171,28694710,20990964,14421096,16738902,21957230,20850077,36030840,17302270,24602512,22660136,5460621,5854127,14891473,17895072,1209177,3562931,34090198,3400693,12476366,10014890,6424755,8429348,4699980
26,13.916,87.0087,Pyruvic Acid,[M-H]-,null,0.31,FALSE,-1,87.0088,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,26,0,0,1,null,null,null,null,null,1,28.36,QC_ur_2,87.00870:5417233 88.01337:544117 89.01803:7937668,null,27947,61161,67031,68948,73085,179989,232317,239945,259391,1633936,2471060,781830,4915260,4953022,126643,224464,924561,220732,811780,180934,217714,224251,201629,145039,722324,186127,185354,943572,162825,175046,197817,2905158,4345818,1038806,780718,3110797,3183142,1217163,3370951,3386978,3129314,649197,2741951,3934155
27,9.683,87.0271,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,27,0,0,null,null,null,null,null,null,null,84.56,ur_14,87.02710:7149731 88.03177:1108216 89.03644:0,null,0,25986,0,0,20504,251000,0,3895,4049,686886,236068,236453,930639,413974,0,0,0,0,0,0,29110,32204,26176,0,0,0,0,0,0,0,0,0,1524692,207773,0,6703483,0,0,0,0,1182269,60974,69910,0
28,4.574,87.04481,Diacetyl,[M-H]-,null,0.02,FALSE,-1,87.0441,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,28,0,0,0.94,null,null,null,null,null,0.94,10.99,ur_1,87.04481:2730410 88.04948:0 89.05414:0,null,29028,71878,20240,21671,69986,123421,104978,26464,41729,405107,242709,273480,344056,0,59909,42989,43686,59357,41380,0,38640,28339,50530,39588,33867,32716,33182,0,62552,33789,57155,1489794,408822,1024082,828346,0,1484475,404792,972032,784622,321648,1400576,665968,845107
29,14.19,87.0449,Diacetyl,[M-H]-,null,0.42,FALSE,-1,87.0441,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,29,0,0,0.94,null,null,null,null,null,0.94,329.4,ur_6,87.04480:32095010 88.04947:1839010 89.05414:0,null,28883,25950,22853,9832,27691,15957524,148402,138604,120540,22126755,12306791,13298814,30206678,30868022,103381,124003,115760,128985,176645,137956,116008,107985,158310,150549,165181,101774,146696,183682,126700,143876,116370,29864734,34414212,28315675,31255155,74381086,26772970,16785131,23721838,33608527,30896689,27705008,27204208,29484714
30,7.558,87.04507,Diacetyl,[M-H]-,null,0.09,FALSE,-1,87.0441,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,30,0,0,0.95,null,null,null,null,null,0.95,35.37,Blank_ur_1,87.04475:372562 88.04941:103387 89.05408:0,null,643605,591490,536042,242868,277798,493358,851258,938266,968415,657710,1614586,1000107,1018133,516782,700198,3293770,830269,860071,927136,679844,785370,685436,870817,923953,548670,1141824,1346461,1517794,845477,687315,972225,2674733,2071381,1164616,1671004,646744,1708110,3221920,2836466,572590,1008430,3471736,1613136,1998745
31,12.318,87.05598,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,31,0,0,null,null,null,null,null,null,null,7.98,ur_5,87.05598:288809 88.06064:0 89.06531:0,null,0,0,0,3732,0,0,0,5694,0,57404,32460,50809,58910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69476,0,0,0,0,138606,43596,57109,201763,0,0,0,0
32,5.68,87.32071,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,32,0,0,null,null,null,null,null,null,null,20.14,QC_se_ur_1,87.32071:888119 88.32538:0 89.33004:0,null,0,0,0,0,0,93070,0,0,0,222030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20898,0,0,0,0,0,0,0,298246,0,0,313908,0,0,0,332480,0,163696,209890,0
33,13.409,88.00371,Unknown,[M-H]-,null,0.4,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,33,0,0,null,null,null,null,null,null,null,31.2,ur_13,88.00371:4576501 89.00838:0 90.01304:0,null,7540,2752,2760,5724,21463,612304,18543,5872,3987,784976,479877,336168,981350,1103535,16894,5739,9447,26990,7556,5184,9254,6603,6634,8087,6695,15136,7666,4732,8081,3434,6015,309526,1963404,751904,596348,888828,361234,391507,638425,549716,1182617,487327,466890,764812
34,3.629,88.04002,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,34,0,0,null,null,null,null,null,null,null,2,ur_10,88.04002:296756 89.04469:0 90.04936:0,null,55983,44606,33123,45590,244474,131868,0,85984,0,0,0,131101,41425,113241,0,0,0,0,135156,0,92914,0,68616,0,0,79521,0,0,0,0,0,56418,238865,279548,118766,78366,83194,63326,53781,167826,186446,205109,88291,119776
35,14.69,88.04007,Unknown,[M-H]-,null,0.42,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,35,0,0,null,null,null,null,null,null,null,97.05,ur_7,88.04007:13517242 89.04474:696235 90.04941:0,null,38471,54323,62323,83434,240946,1814446,783012,5220738,3679304,5715027,5044910,3838266,6174239,6406584,4637230,7460932,3063716,3042419,3359117,4568803,2391645,7008020,4894446,4110658,3773792,6867065,3065588,4362070,3130246,4165101,2386938,11418379,3386100,2352435,2739027,2801437,2107633,3139900,8269358,2820622,2805918,14008294,1580822,12008744
36,12.481,88.04008,Unknown,[M-H]-,null,0.87,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,36,0,0,null,null,null,null,null,null,null,814.67,ur_6,88.04008:181755664 89.04474:7103718 90.04941:0,null,70027,55749,46079,84506,214133,35722694,1533983,1581597,1592394,83719708,59301570,51651118,110432657,102942132,515485,1398076,732634,1425556,783026,875876,801777,637429,628733,691456,432253,382750,482609,664264,423176,349741,1164501,58082796,165939320,83311154,146761947,68649001,56630884,92875334,74078706,137865702,179046416,79555384,86480032,108754483
37,9.078,88.0401,Unknown,[M-H]-,null,0.2,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,37,0,0,null,null,null,null,null,null,null,39.12,ur_14,88.04010:9209609 89.04477:0 90.04944:0,null,38858,29010,47300,20424,251859,233890,107650,112996,113234,1047309,806541,749212,1187668,2838790,140219,49918,166949,106659,48554,62504,62526,67021,59271,129032,91868,95679,74105,79039,48774,27830,42725,801825,2832997,1087403,874833,7757000,1337672,2654192,365424,1117283,3966940,2441925,672909,861412
38,14.895,88.04022,Unknown,[M-H]-,null,0.78,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,38,0,0,null,null,null,null,null,null,null,180.64,se_6,88.04022:8045048 89.04489:370480 90.04956:0,null,44703,63788,53039,77065,210220,2252169,5526723,5220738,5342416,4603504,4503341,3798324,3653037,3764466,4637230,7460932,3876305,4627489,4763812,4568803,4357633,7008020,4894446,4110658,5565788,6867065,4853889,7569403,3130246,6749371,3393921,11418379,3273404,3699455,4595863,3081753,2480510,3033681,3005322,3551818,4160964,1996125,3337744,12008744
39,10.204,88.82104,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,39,0,0,null,null,null,null,null,null,null,66.56,QC_se_3,88.82104:317735 89.82571:0 90.83037:0,null,0,0,0,0,0,0,0,0,268807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,21.19,88.96996,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,40,0,0,null,null,null,null,null,null,null,8.98,ur_3,88.96996:251505 89.97463:0 90.97930:635458,null,1680,0,1224,0,0,12186,3612,1333,0,47042,26653,4783,70451,87362,0,1130,1673,0,0,1637,0,2352,0,0,0,0,0,1388,1439,1240,0,62702,0,74323,244768,0,59637,256326,44296,53351,19637,67472,52569,25834
41,18.651,88.98767,Oxalate,[M-H]-,null,0.91,FALSE,-1,88.98799,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,41,0,0,1,null,null,null,null,null,1,98.28,QC_se_ur_1,88.98800:1612769 89.99267:0 90.99733:0,null,1166028,1259489,1624964,1436599,876048,200679,1442179,1327709,1317029,1172764,999154,1109349,1214632,726829,1587212,1297487,1408224,1367976,1196224,1206865,1291777,1364214,1422654,1512225,1564448,1651842,1487363,1356041,1366240,1353415,1371017,1387152,1574903,503091,622085,98903,4125087,474024,2983024,836261,1850580,1395425,2236188,3212942
42,7.657,89.02405,(S)-LACTATE,[M-H]-,null,0.2,FALSE,-1,89.02434,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,42,0,0,1,null,null,null,null,null,1,8.08,ur_6,89.02424:3025219 90.02891:0 91.03357:0,null,189656,1114951,1543254,1563689,1530888,460060,146322,843734,1249976,1537930,2668412,1885777,3645181,2447872,370221,1077790,1084100,1102942,1449037,1635442,1627709,1530058,1514328,400801,471539,636068,689328,767414,984810,961958,1177524,3775990,2189667,3973482,3141662,1344558,4481074,2702284,4389917,3052359,2608223,5243147,3317021,4997010
43,18.763,89.0241,(S)-LACTATE,[M-H]-,null,0.38,FALSE,-1,89.02434,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,43,0,0,1,null,null,null,null,null,1,5.12,se_2,89.02434:5325155 90.02901:225171 91.03367:166108,null,193933,1858196,3157754,2557797,1406392,628752,4807428,9215013,9939264,3345731,11739428,6618068,7228368,2234966,5295171,9611324,10437978,12338194,11317859,10399940,11678124,11317949,11217209,5162423,9334740,8513392,9506125,12073204,9228228,10597058,10690415,5535788,2895604,2577053,2721736,2578065,3617206,3955230,3700142,3878135,2957643,2750388,2662116,2760939
44,27.256,89.02411,(S)-LACTATE,[M-H]-,null,0.58,FALSE,-1,89.02434,null,null,null,null,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: master_std_mz_2,FALSE,FALSE,44,0,0,1,null,null,null,null,null,1,8.64,QC_se_1,89.02431:1848175 90.02898:99483 91.03364:122431,null,424159,3001085,4165416,3985828,3041219,392572,1684578,4125535,5750790,1699099,6855604,6235386,6109501,3235484,2434658,5144167,5304568,6096699,6350141,6141196,6719596,5854425,6936213,2766448,3448896,3646010,4237004,5097884,4638391,5385954,5474402,6632477,4341340,4222908,4633786,3634605,5472423,5266580,5341858,5467162,4499291,4667880,4552598,4414464
